DATE,MORTGAGE30US
1/6/2022,3.22
1/13/2022,3.45
1/20/2022,3.56
1/27/2022,3.55
2/3/2022,3.55
2/10/2022,3.69
2/17/2022,3.92
2/24/2022,3.89
3/3/2022,3.76
3/10/2022,3.85
3/17/2022,4.16
3/24/2022,4.42
3/31/2022,4.67
4/7/2022,4.72
4/14/2022,5
4/21/2022,5.11
4/28/2022,5.1
5/5/2022,5.27
5/12/2022,5.3
5/19/2022,5.25
5/26/2022,5.1
6/2/2022,5.09
6/9/2022,5.23
6/16/2022,5.78
6/23/2022,5.81
6/30/2022,5.7
7/7/2022,5.3
7/14/2022,5.51
7/21/2022,5.54
7/28/2022,5.3
8/4/2022,4.99
8/11/2022,5.22
8/18/2022,5.13
8/25/2022,5.55
9/1/2022,5.66
9/8/2022,5.89
9/15/2022,6.02
9/22/2022,6.29
9/29/2022,6.7
10/6/2022,6.66
10/13/2022,6.92
10/20/2022,6.94
10/27/2022,7.08
11/3/2022,6.95
11/10/2022,7.08
11/17/2022,6.61
11/23/2022,6.58
12/1/2022,6.49
12/8/2022,6.33
12/15/2022,6.31
12/22/2022,6.27
12/29/2022,6.42
1/5/2023,6.48
1/12/2023,6.33
1/19/2023,6.15
1/26/2023,6.13
2/2/2023,6.09
2/9/2023,6.12
2/16/2023,6.32
2/23/2023,6.5
3/2/2023,6.65
3/9/2023,6.73
3/16/2023,6.6
3/23/2023,6.42
3/30/2023,6.32
4/6/2023,6.28
4/13/2023,6.27
4/20/2023,6.39
4/27/2023,6.43
5/4/2023,6.39
5/11/2023,6.35
5/18/2023,6.39
5/25/2023,6.57
6/1/2023,6.79
6/8/2023,6.71
6/15/2023,6.69
6/22/2023,6.67
6/29/2023,6.71
7/6/2023,6.81
7/13/2023,6.96
7/20/2023,6.78
7/27/2023,6.81
8/3/2023,6.9
8/10/2023,6.96
8/17/2023,7.09
8/24/2023,7.23
8/31/2023,7.18
9/7/2023,7.12
9/14/2023,7.18
9/21/2023,7.19
9/28/2023,7.31
10/5/2023,7.49
10/12/2023,7.57
10/19/2023,7.63
10/26/2023,7.79
11/2/2023,7.76
11/9/2023,7.5
11/16/2023,7.44
11/22/2023,7.29
11/30/2023,7.22
12/7/2023,7.03
12/14/2023,6.95
12/21/2023,6.67
12/28/2023,6.61
1/4/2024,6.62
1/11/2024,6.66
1/18/2024,6.6
1/25/2024,6.69
2/1/2024,6.63
2/8/2024,6.64
2/15/2024,6.77
2/22/2024,6.9
2/29/2024,6.94
3/7/2024,6.88
3/14/2024,6.74
3/21/2024,6.87
3/28/2024,6.79
