zcode,month_date_yyyymm,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
27006,2024-01-01,7226.0,2085.0,278.0,-6035.0,71.47253567,68.08728901,74.85778234,57.0,0.212765957,10.0,-0.333333333,-28.5,-11.5,0.375679719,0.615936147,1.399636845,434975.0,0.008020597,0.346713521,1.062210012,0.0
27006,2023-12-01,7226.0,1807.0,-807.0,-4550.0,75.4988134,78.69385603,72.30377077,47.0,0.044444444,2.0,-0.328571429,-23.0,-14.0,-0.129742218,0.194106668,1.334909236,431514.0,-0.027907061,0.150704,1.052473171,0.0
27006,2023-11-01,7226.0,2614.0,-1508.0,-1268.0,70.32,63.00631579,77.63368421,45.0,-0.210526316,-12.0,-0.010989011,-0.5,-6.5,-0.294361948,0.255220502,1.48120618,443902.0,-0.002597975,0.18389652,1.056909524,0.0
27006,2023-10-01,7226.0,4122.0,-662.0,486.0,60.31752716,31.50846458,89.12658974,57.0,0.04587156,2.5,0.341176471,14.5,7.5,0.118917981,0.513056486,1.974272324,445058.25,-0.010721157,0.369831487,1.047195882,0.0
27006,2023-09-01,7226.0,4784.0,-2056.0,-80.0,55.667206,32.85361492,78.48079707,54.5,-0.171102662,-11.25,0.3625,14.5,6.5,0.106271616,0.515964628,1.492934849,449881.5,0.033540326,1.092472093,1.047454016,1.0
27006,2023-08-01,7226.0,6840.0,-310.0,-240.0,42.77188329,16.64014147,68.90362511,65.75,-0.198170732,-16.25,0.461111111,20.75,19.75,-0.144742901,0.108259646,1.252086973,435282.0,0.189394198,1.385760482,0.999510901,1.0
27006,2023-07-01,7226.0,7150.0,284.0,-1448.0,39.67057762,5.23465704,74.1064982,82.0,0.223880597,15.0,0.802197802,36.5,37.0,0.147886279,0.27789477,1.371068443,365969.5,0.002724844,0.830762881,0.831748864,1.0
27006,2023-06-01,7226.0,6866.0,580.0,-2263.0,39.8966651,12.37200564,67.42132457,67.0,0.089430894,5.5,0.223744292,12.25,23.5,0.024285785,0.193725497,1.232750973,364975.0,-0.091952908,0.782757357,0.820168539,1.0
27006,2023-05-01,7226.0,6286.0,-128.0,-1703.0,41.58736388,18.10065731,65.07407044,61.5,-0.0390625,-2.5,0.016528926,1.0,18.5,0.018278105,-0.013695685,1.185162849,401934.0,0.057252245,1.010675338,0.911390166,1.0
27006,2023-04-01,7226.0,6414.0,1129.0,-31.0,39.56867082,20.60124673,58.53609491,64.0,0.174311927,9.5,0.376344086,17.5,18.0,0.128572943,-0.202362983,1.086594267,380168.5,0.06511108,0.901793397,0.884112791,1.0
27006,2023-03-01,7226.0,5285.0,-1442.0,-834.0,46.99632203,41.80629342,52.18635063,54.5,-0.226950355,-16.0,-0.131474104,-8.25,3.0,0.24672596,-0.269025143,0.974019045,356928.5,0.084098226,0.793610553,0.8418125,1.0
27006,2023-02-01,7226.0,6727.0,-1393.0,1595.0,39.13803436,38.29404714,39.98202157,70.5,-0.175438596,-15.0,0.189873418,11.25,6.0,0.072588634,-0.429797216,0.838230793,329240.0,0.019350444,0.590531401,0.794565178,1.0
27006,2023-01-01,7226.0,8120.0,1763.0,1540.0,30.8976438,25.78460364,36.01068397,85.5,0.221428571,15.5,-0.017241379,-1.5,13.5,0.016567597,-0.400521788,0.787785178,322990.0,-0.138693333,0.474840183,0.800074313,0.0
27006,2022-12-01,7226.0,6357.0,2475.0,-1319.0,45.58979809,38.07120085,53.10839532,70.0,0.538461538,24.5,-0.202279202,-17.75,5.0,-0.085202823,-0.221162656,1.013164793,375000.0,0.000133351,0.756440281,0.925925926,1.0
27006,2022-11-01,7226.0,3882.0,246.0,-3194.0,61.20696947,67.52093377,54.89300516,45.5,0.070588235,3.0,-0.2890625,-18.5,-9.0,-0.149416195,-0.352062803,1.031021527,374950.0,0.154047399,0.524651825,0.901322115,1.0
27006,2022-10-01,7226.0,3636.0,-1228.0,-4287.0,62.7694859,66.05306799,59.48590381,42.5,0.0625,2.5,-0.166666667,-8.5,-7.5,0.121068576,-0.1176932,1.116245645,324900.0,0.511162791,0.368,0.764470588,0.0
27006,2022-09-01,7226.0,4864.0,-2216.0,-3501.0,55.36496966,67.98718813,42.74275118,40.0,-0.111111111,-5.0,-0.120879121,-5.5,-7.0,-0.191250134,-0.161088495,0.885474849,215000.0,0.178405043,-0.021281438,0.502630041,0.0
