zcode,month_date_yyyymm,zhvi
27006,2022-01-01,330087.73188796337
27007,2022-01-01,201351.2006202472
27009,2022-01-01,253237.29412188404
27011,2022-01-01,180438.39875086315
27012,2022-01-01,318377.75486323127
27013,2022-01-01,234866.37499286552
27014,2022-01-01,100914.7657484073
27016,2022-01-01,154893.04287799518
27017,2022-01-01,182095.03782449692
27018,2022-01-01,205594.5227542809
27019,2022-01-01,199077.77721521092
27020,2022-01-01,181688.95190196123
27021,2022-01-01,214749.56185746763
27022,2022-01-01,171959.4869760039
27023,2022-01-01,309321.4166854084
27024,2022-01-01,153042.12795609058
27025,2022-01-01,177200.55857029217
27027,2022-01-01,126657.91305566758
27028,2022-01-01,219658.03205426107
27030,2022-01-01,163468.43827179994
27040,2022-01-01,273444.55936605355
27041,2022-01-01,206318.32824835205
27043,2022-01-01,205530.8913054226
27045,2022-01-01,214862.0121298856
27046,2022-01-01,160986.97316127588
27048,2022-01-01,176227.19921453207
27050,2022-01-01,207610.4453154366
27051,2022-01-01,200482.45782257585
27052,2022-01-01,173426.4174378071
27053,2022-01-01,178317.3173716186
27054,2022-01-01,225711.56451512736
27055,2022-01-01,190695.03462460169
27101,2022-01-01,167344.7132818601
27103,2022-01-01,225636.86509618757
27104,2022-01-01,297518.6890476958
27105,2022-01-01,125008.4497392889
27106,2022-01-01,264520.18068022927
27107,2022-01-01,185085.0258109911
27127,2022-01-01,205856.18050694597
27203,2022-01-01,162410.5151909021
27205,2022-01-01,224694.29900206297
27207,2022-01-01,261717.17326687477
27208,2022-01-01,230282.89728506055
27209,2022-01-01,144103.3221352969
27212,2022-01-01,177871.18490365206
27214,2022-01-01,250070.5050683931
27215,2022-01-01,230405.50993199972
27217,2022-01-01,163192.68646110207
27229,2022-01-01,122446.3396300723
27231,2022-01-01,277987.8109053559
27233,2022-01-01,224125.3839998548
27235,2022-01-01,351313.6353071505
27239,2022-01-01,192676.97932859627
27242,2022-01-01,157109.8640305034
27243,2022-01-01,289410.9856765524
27244,2022-01-01,246825.57297370167
27248,2022-01-01,192636.74693666265
27249,2022-01-01,224109.44626783163
27252,2022-01-01,250089.96800492983
27253,2022-01-01,229762.50429373543
27258,2022-01-01,252028.78963343528
27260,2022-01-01,106253.48053302418
27262,2022-01-01,161796.81810163238
27263,2022-01-01,179794.12052436406
27265,2022-01-01,243679.1610291396
27278,2022-01-01,371034.9227597828
27281,2022-01-01,292958.3588162069
27282,2022-01-01,276321.9694774745
27283,2022-01-01,205911.10820553545
27284,2022-01-01,265647.24838371616
27288,2022-01-01,124077.64678355923
27291,2022-01-01,274694.1963178947
27292,2022-01-01,180561.41623168028
27295,2022-01-01,212051.92944287424
27298,2022-01-01,207241.9107698752
27299,2022-01-01,175306.68693187242
27301,2022-01-01,234014.53820903777
27302,2022-01-01,292051.58001285675
27305,2022-01-01,129337.98559073248
27306,2022-01-01,207597.82026807804
27310,2022-01-01,460397.7265567656
27311,2022-01-01,138444.03115060276
27312,2022-01-01,474375.0166386222
27313,2022-01-01,240721.1434677112
27314,2022-01-01,250112.21080364825
27315,2022-01-01,170861.07509999233
27316,2022-01-01,181401.94140005932
27317,2022-01-01,216027.66719098805
27320,2022-01-01,174200.06213269042
27325,2022-01-01,132251.33351195455
27326,2022-01-01,172991.5013628317
27330,2022-01-01,217327.31953270372
27332,2022-01-01,233277.623881318
27341,2022-01-01,192732.8387086124
27343,2022-01-01,495259.6585787915
27344,2022-01-01,216117.4133415249
27349,2022-01-01,234486.2649547575
27350,2022-01-01,230818.5232720515
27355,2022-01-01,222338.0356479321
27356,2022-01-01,140245.92227214572
27357,2022-01-01,302886.8616001988
27358,2022-01-01,409010.7998543689
27360,2022-01-01,179879.27557452666
27370,2022-01-01,233109.57545409023
27371,2022-01-01,167690.6609278525
27376,2022-01-01,340209.25827870413
27377,2022-01-01,269481.41530744586
27379,2022-01-01,132493.8942493658
27401,2022-01-01,134009.529749867
27403,2022-01-01,183801.23363981256
27405,2022-01-01,169030.73758306794
27406,2022-01-01,173250.25184218216
27407,2022-01-01,195745.5965260421
27408,2022-01-01,285675.4214226397
27409,2022-01-01,170263.5813270591
27410,2022-01-01,299750.8615862645
27455,2022-01-01,305968.67331581126
27501,2022-01-01,283250.69527758064
27502,2022-01-01,500215.1760103388
27503,2022-01-01,381237.7479188884
27504,2022-01-01,266433.68337829364
27505,2022-01-01,216270.6895812809
27507,2022-01-01,202430.58169469447
27508,2022-01-01,184533.25165864293
27509,2022-01-01,219233.2813591486
27510,2022-01-01,351546.88022354053
27511,2022-01-01,416934.07676770166
27513,2022-01-01,481228.2337678655
27514,2022-01-01,522361.4192700956
27516,2022-01-01,491010.8539199472
27517,2022-01-01,534044.5525755333
27518,2022-01-01,591860.4444061626
27519,2022-01-01,597974.8720422144
27520,2022-01-01,303310.1716265297
27521,2022-01-01,197572.6048904207
27522,2022-01-01,286534.4790483098
27523,2022-01-01,629721.2982723382
27524,2022-01-01,231652.77198941688
27525,2022-01-01,303951.3159784697
27526,2022-01-01,403683.8122668725
27527,2022-01-01,373317.2007095473
27529,2022-01-01,348272.2467095257
27530,2022-01-01,135315.44989160387
27534,2022-01-01,169393.44934446574
27536,2022-01-01,95666.43584422387
27537,2022-01-01,197453.82563339613
27539,2022-01-01,538449.7791241352
27540,2022-01-01,510677.3139022082
27541,2022-01-01,267363.99027354666
27542,2022-01-01,195248.93696423768
27544,2022-01-01,194216.22581998343
27545,2022-01-01,334112.76329520106
27546,2022-01-01,233535.70748816585
27549,2022-01-01,247542.74006656732
27551,2022-01-01,294162.7180961212
27553,2022-01-01,234135.8228063787
27557,2022-01-01,209329.31130982385
27559,2022-01-01,341948.4889234311
27560,2022-01-01,459835.0135059488
27562,2022-01-01,569366.6389508675
27563,2022-01-01,129510.9523351023
27565,2022-01-01,200315.11285950523
27569,2022-01-01,212510.02895759093
27571,2022-01-01,464432.0717683139
27572,2022-01-01,280362.97346650803
27573,2022-01-01,154897.56784884658
27574,2022-01-01,195271.4725550828
27576,2022-01-01,221073.7895433004
27577,2022-01-01,246770.2269039814
27581,2022-01-01,255760.507768974
27583,2022-01-01,250762.33087914923
27587,2022-01-01,466339.6621244303
27589,2022-01-01,140299.69139452127
27591,2022-01-01,332123.15831747634
27592,2022-01-01,354470.1399533724
27596,2022-01-01,365294.6028123208
27597,2022-01-01,307975.8892715062
27601,2022-01-01,471243.45645564754
27603,2022-01-01,367782.16453692486
27604,2022-01-01,314379.7822490737
27605,2022-01-01,440241.5372483421
27606,2022-01-01,388210.4910250215
27607,2022-01-01,586773.3590447659
27608,2022-01-01,794038.6359910052
27609,2022-01-01,464523.7064726901
27610,2022-01-01,287649.45379103016
27612,2022-01-01,483024.9984142944
27613,2022-01-01,501619.5413032015
27614,2022-01-01,560084.8769007592
27615,2022-01-01,457101.5099159314
27616,2022-01-01,339395.5450130647
27617,2022-01-01,410691.8941848952
27701,2022-01-01,375584.1872377395
27703,2022-01-01,356151.8338151724
27704,2022-01-01,268680.3831043285
27705,2022-01-01,393963.4440751888
