Feature Name,LASSO Coefficient
bed,0.0
bath,125065.644284191
house_sqft,1167.1564804991976
acre,0.0
median_listing_price_x,7655.520518717572
median_listing_price_mm_x,-0.0
median_listing_price_yy_x,0.0
active_listing_count,-0.0
active_listing_count_mm,0.0
active_listing_count_yy,-0.0
median_days_on_market_x,-0.0
median_days_on_market_mm_x,-0.0
median_days_on_market_yy_x,-0.0
new_listing_count,-0.0
new_listing_count_mm,0.0
new_listing_count_yy,-0.0
pending_listing_count,-0.0
pending_listing_count_mm,-0.0
pending_listing_count_yy,-0.0
median_listing_price_per_square_foot,15609.7480236699
median_square_feet,0.0
median_square_feet_mm,-0.0
median_square_feet_yy,0.0
average_listing_price,36215.768587427156
average_listing_price_mm,-0.0
average_listing_price_yy,0.0
total_listing_count,-0.0
total_listing_count_mm,-0.0
total_listing_count_yy,-0.0
pending_ratio,0.0
pending_ratio_mm,-0.0
pending_ratio_yy,0.0
quality_flag_x,0.0
nielsen_hh_rank,-0.0
hotness_rank,-0.0
hotness_rank_mm,-0.0
hotness_rank_yy,-0.0
hotness_score,0.0
supply_score,0.0
demand_score,0.0
median_dom_mm_day,-0.0
median_dom_yy_day,-0.0
median_dom_vs_us,-0.0
median_listing_price_vs_us,0.0
zhvi,31288.33629119328
avg_int_rate,0.0
active_ratio,-0.0
